
1 1 0.003070
1 2 0.006149
1 3 0.009246
1 4 0.012371
1 5 0.015531
1 6 0.018733
1 7 0.021984
1 8 0.025289
1 9 0.028652
1 10 0.032074
1 11 0.035557
1 12 0.039099
1 13 0.042697
1 14 0.046348
1 15 0.050044
1 16 0.053778
1 17 0.057540
1 18 0.061319
1 19 0.065102
1 20 0.068876
1 21 0.072623
1 22 0.076329
1 23 0.079976
1 24 0.083545
1 25 0.087019
1 26 0.090378
1 27 0.093603
1 28 0.096676
1 29 0.099579
1 30 0.102293
1 31 0.104803
1 32 0.107093
1 33 0.109149
1 34 0.110957
1 35 0.112507
1 36 0.113788
1 37 0.114793
1 38 0.115516
1 39 0.115951
1 40 0.116097
1 41 0.115951
1 42 0.115516
1 43 0.114793
1 44 0.113788
1 45 0.112507
1 46 0.110957
1 47 0.109149
1 48 0.107093
1 49 0.104803
1 50 0.102293
1 51 0.099579
1 52 0.096676
1 53 0.093603
1 54 0.090378
1 55 0.087019
1 56 0.083545
1 57 0.079976
1 58 0.076329
1 59 0.072623
1 60 0.068876
1 61 0.065102
1 62 0.061319
1 63 0.057540
1 64 0.053778
1 65 0.050044
1 66 0.046348
1 67 0.042697
1 68 0.039099
1 69 0.035557
1 70 0.032074
1 71 0.028652
1 72 0.025289
1 73 0.021984
1 74 0.018733
1 75 0.015531
1 76 0.012371
1 77 0.009246
1 78 0.006149
1 79 0.003070

2 1 0.006130
2 2 0.012279
2 3 0.018465
2 4 0.024706
2 5 0.031019
2 6 0.037418
2 7 0.043915
2 8 0.050521
2 9 0.057244
2 10 0.064088
2 11 0.071054
2 12 0.078141
2 13 0.085342
2 14 0.092649
2 15 0.100050
2 16 0.107528
2 17 0.115063
2 18 0.122634
2 19 0.130215
2 20 0.137776
2 21 0.145289
2 22 0.152718
2 23 0.160029
2 24 0.167187
2 25 0.174153
2 26 0.180889
2 27 0.187358
2 28 0.193522
2 29 0.199345
2 30 0.204791
2 31 0.209827
2 32 0.214421
2 33 0.218545
2 34 0.222173
2 35 0.225282
2 36 0.227853
2 37 0.229870
2 38 0.231319
2 39 0.232192
2 40 0.232484
2 41 0.232192
2 42 0.231319
2 43 0.229870
2 44 0.227853
2 45 0.225282
2 46 0.222173
2 47 0.218545
2 48 0.214421
2 49 0.209827
2 50 0.204791
2 51 0.199345
2 52 0.193522
2 53 0.187358
2 54 0.180889
2 55 0.174153
2 56 0.167187
2 57 0.160029
2 58 0.152718
2 59 0.145289
2 60 0.137776
2 61 0.130215
2 62 0.122634
2 63 0.115063
2 64 0.107528
2 65 0.100050
2 66 0.092649
2 67 0.085342
2 68 0.078141
2 69 0.071054
2 70 0.064088
2 71 0.057244
2 72 0.050521
2 73 0.043915
2 74 0.037418
2 75 0.031019
2 76 0.024706
2 77 0.018465
2 78 0.012279
2 79 0.006130

3 1 0.009171
3 2 0.018371
3 3 0.027629
3 4 0.036970
3 5 0.046421
3 6 0.056003
3 7 0.065737
3 8 0.075637
3 9 0.085716
3 10 0.095980
3 11 0.106432
3 12 0.117068
3 13 0.127882
3 14 0.138858
3 15 0.149979
3 16 0.161219
3 17 0.172551
3 18 0.183939
3 19 0.195346
3 20 0.206727
3 21 0.218037
3 22 0.229224
3 23 0.240237
3 24 0.251019
3 25 0.261516
3 26 0.271668
3 27 0.281418
3 28 0.290710
3 29 0.299488
3 30 0.307699
3 31 0.315292
3 32 0.322219
3 33 0.328437
3 34 0.333908
3 35 0.338596
3 36 0.342472
3 37 0.345513
3 38 0.347698
3 39 0.349015
3 40 0.349454
3 41 0.349015
3 42 0.347698
3 43 0.345513
3 44 0.342472
3 45 0.338596
3 46 0.333908
3 47 0.328437
3 48 0.322219
3 49 0.315292
3 50 0.307699
3 51 0.299488
3 52 0.290710
3 53 0.281418
3 54 0.271668
3 55 0.261516
3 56 0.251019
3 57 0.240237
3 58 0.229224
3 59 0.218037
3 60 0.206727
3 61 0.195346
3 62 0.183939
3 63 0.172551
3 64 0.161219
3 65 0.149979
3 66 0.138858
3 67 0.127882
3 68 0.117068
3 69 0.106432
3 70 0.095980
3 71 0.085716
3 72 0.075637
3 73 0.065737
3 74 0.056003
3 75 0.046421
3 76 0.036970
3 77 0.027629
3 78 0.018371
3 79 0.009171

4 1 0.012183
4 2 0.024407
4 3 0.036708
4 4 0.049125
4 5 0.061691
4 6 0.074438
4 7 0.087392
4 8 0.100574
4 9 0.114002
4 10 0.127684
4 11 0.141624
4 12 0.155819
4 13 0.170258
4 14 0.184922
4 15 0.199787
4 16 0.214820
4 17 0.229982
4 18 0.245227
4 19 0.260502
4 20 0.275750
4 21 0.290907
4 22 0.305905
4 23 0.320674
4 24 0.335139
4 25 0.349223
4 26 0.362848
4 27 0.375937
4 28 0.388412
4 29 0.400199
4 30 0.411225
4 31 0.421422
4 32 0.430725
4 33 0.439077
4 34 0.446425
4 35 0.452721
4 36 0.457928
4 37 0.462011
4 38 0.464946
4 39 0.466714
4 40 0.467305
4 41 0.466714
4 42 0.464946
4 43 0.462011
4 44 0.457928
4 45 0.452721
4 46 0.446425
4 47 0.439077
4 48 0.430725
4 49 0.421422
4 50 0.411225
4 51 0.400199
4 52 0.388412
4 53 0.375937
4 54 0.362848
